sra_run_id,layout,fragment_length_average,fragment_length_sd,publication_id,species,genotype.name,genotype.accession,tissue,tissue.comment,stress_type,stress.duration,temperature,sample.name,sample.group,respective_control
SRR2939230,paired,,,p12,Solanum lycopersicum,San Marzano,,fruit,,heat,12h,low,sm_h_1,e12-2,e12-2-0
SRR2939231,paired,,,p12,Solanum lycopersicum,San Marzano,,fruit,,heat,12h,low,sm_h_2,e12-2,e12-2-0
SRR2939232,paired,,,p12,Solanum lycopersicum,San Marzano,,fruit,,heat,12h,low,sm_h_3,e12-2,e12-2-0
SRR2939233,paired,,,p12,Solanum lycopersicum,Vesuviano,,fruit,,none,0h,control,sm_h_c_1,e12-3-0,
SRR2939234,paired,,,p12,Solanum lycopersicum,Vesuviano,,fruit,,none,0h,control,sm_h_c_2,e12-3-0,
SRR2939235,paired,,,p12,Solanum lycopersicum,Vesuviano,,fruit,,none,0h,control,sm_h_c_3,e12-3-0,
SRR2939236,paired,,,p12,Solanum lycopersicum,Vesuviano,,fruit,,heat,12h,low,sm_h_1,e12-3,e12-3-0
SRR2939237,paired,,,p12,Solanum lycopersicum,Vesuviano,,fruit,,heat,12h,low,sm_h_2,e12-3,e12-3-0
SRR2939238,paired,,,p12,Solanum lycopersicum,Vesuviano,,fruit,,heat,12h,low,sm_h_3,e12-3,e12-3-0
ERR985510,single,200,30,p14,Solanum lycopersicum,Red Setter,,pollen,Tetrad,none,0h,control,rs_h_t3_c_1,e14-1-0,
ERR985511,single,200,30,p14,Solanum lycopersicum,Red Setter,,pollen,Tetrad,none,0h,control,rs_h_t3_c_2,e14-1-0,
ERR985512,single,200,30,p14,Solanum lycopersicum,Red Setter,,pollen,Tetrad,none,0h,control,rs_h_t3_c_3,e14-1-0,
ERR985521,single,200,30,p14,Solanum lycopersicum,Red Setter,,pollen,Tetrad,heat,1h,medium,rs_h_t3_1,e14-1,e14-1-0
