sra_run_id,layout,fragment_length_average,fragment_length_sd,publication_id,species,genotype.name,genotype.accession,tissue,tissue.comment,stress_type,stress.duration,temperature,sample.name,sample.group,respective_control
SRR10998568,single,200,30,p17,Solanum lycopersicum,Ailsa Craig,,fruit,,heat,48h,high,a-17-2.2,e17-2,e17-2-0
SRR10998567,single,200,30,p17,Solanum lycopersicum,Ailsa Craig,,fruit,,heat,48h,high,a-17-2.3,e17-2,e17-2-0
SRR10056921,paired,,,p18,Solanum lycopersicum,,LA1509,seed,,none,0h,control,LA-18-0.1,e18-0,
SRR10056920,paired,,,p18,Solanum lycopersicum,,LA1509,seed,,none,0h,control,LA-18-0.2,e18-0,
SRR10056919,paired,,,p18,Solanum lycopersicum,,LA1509,seed,,none,0h,control,LA-18-0.3,e18-0,
SRR10056918,paired,,,p18,Solanum lycopersicum,,LA1509,seed,,heat,2h,medium,LA-18-1.1,e18-1,e18-0
SRR10056917,paired,,,p18,Solanum lycopersicum,,LA1509,seed,,heat,2h,medium,LA-18-1.2,e18-1,e18-0
SRR10056916,paired,,,p18,Solanum lycopersicum,,LA1509,seed,,heat,2h,medium,LA-18-1.3,e18-1,e18-0
SRR12355986,paired,,,p19,Solanum lycopersicum,Nagcarlan,,flower,,none,0h,control,n-19-1-0.1,e19-1-0,
SRR12356007,paired,,,p19,Solanum lycopersicum,Nagcarlan,,flower,,none,0h,control,n-19-1-0.2,e19-1-0,
SRR12355994,paired,,,p19,Solanum lycopersicum,Nagcarlan,,flower,,none,0h,control,n-19-1-0.3,e19-1-0,
SRR12355998,paired,,,p19,Solanum lycopersicum,Nagcarlan,,flower,,heat,4h,low,n-19-1.1,e19-1,e19-1-0
SRR12356014,paired,,,p19,Solanum lycopersicum,Nagcarlan,,flower,,heat,4h,low,n-19-1.2,e19-1,e19-1-0
SRR12356001,paired,,,p19,Solanum lycopersicum,Nagcarlan,,flower,,heat,4h,low,n-19-1.3,e19-1,e19-1-0
SRR12355988,paired,,,p19,Solanum lycopersicum,Levovil,,flower,,none,0h,control,l-19-3-0.1,e19-3-0,
SRR12356010,paired,,,p19,Solanum lycopersicum,Levovil,,flower,,none,0h,control,l-19-3-0.2,e19-3-0,
SRR12355996,paired,,,p19,Solanum lycopersicum,Levovil,,flower,,none,0h,control,l-19-3-0.3,e19-3-0,
SRR12356020,paired,,,p19,Solanum lycopersicum,Levovil,,flower,,heat,4h,low,l-19-3.1,e19-3,e19-3-0
SRR12356016,paired,,,p19,Solanum lycopersicum,Levovil,,flower,,heat,4h,low,l-19-3.2,e19-3,e19-3-0
SRR12356003,paired,,,p19,Solanum lycopersicum,Levovil,,flower,,heat,4h,low,l-19-3.3,e19-3,e19-3-0
SRR12356018,paired,,,p19,Solanum lycopersicum,M102,,flower,,none,0h,control,m102-19-5-0.1,e19-5-0,
SRR12356005,paired,,,p19,Solanum lycopersicum,M102,,flower,,none,0h,control,m102-19-5-0.2,e19-5-0,
SRR12355992,paired,,,p19,Solanum lycopersicum,M102,,flower,,none,0h,control,m102-19-5-0.3,e19-5-0,
SRR12355990,paired,,,p19,Solanum lycopersicum,M102,,flower,,heat,4h,low,m102-19-5.1,e19-5,e19-5-0
SRR12356012,paired,,,p19,Solanum lycopersicum,M102,,flower,,heat,4h,low,m102-19-5.2,e19-5,e19-5-0
SRR12355999,paired,,,p19,Solanum lycopersicum,M102,,flower,,heat,4h,low,m102-19-5.3,e19-5,e19-5-0
SRR12356019,paired,,,p19,Solanum lycopersicum,M54,,flower,,none,0h,control,m54-19-6-0.1,e19-6-0,
SRR12356006,paired,,,p19,Solanum lycopersicum,M54,,flower,,none,0h,control,m54-19-6-0.2,e19-6-0,
SRR12355993,paired,,,p19,Solanum lycopersicum,M54,,flower,,none,0h,control,m54-19-6-0.3,e19-6-0,
SRR12355991,paired,,,p19,Solanum lycopersicum,M54,,flower,,heat,4h,low,m54-19-6.1,e19-6,e19-6-0
